CarPark,WeekDays_Rate_1,WeekDays_Rate_2,Saturday_Rate,Sunday_PublicHoliday_Rate,Address,Location
NUS Museum (University Cultural Centre),"*$0.0214/min from 8.30am to 7.30pm, maximum charge of $2.568 for vehicles entering from 8.30am to 6pm and $1.284 for vehicles entering from 6pm to 7.30pm",*Free parking from 7.31pm to 8.29am the following day,"*$0.0214/min up to a maximum charge of $2.568 from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",*Free parking whole day from 8.30am to 8.29am the following day,"50 Kent Ridge Crescent, S(119279)","1.3015907,103.7721946"
"Oasia Hotel Downtown, Singapore",$2.50/30min from 7am to 5pm,$3.00/entry from 5pm to 7am the following day,"$2.50/30min from 7am to 1pm, $3.00/entry from 1pm to 7am the following day",$3.00/entry from 7am to 7am the following day,"100 Peck Seah Street, S(079333)","1.2758528,103.8443611"
Oasia Hotel Singapore,"$2.50 for 1st hr, $1.20 for subsequent 30min from 6am to 6pm",$2.50/entry from 6pm to 6am the following day,Charges same as weekdays,$3.00/entry from 6am to 6am the following day,"8 Sinaran Drive, S(307470)","1.3200182,103.8447218"
Oasis Terraces,$0.60/30min from 7am to 6pm,"$0.60/30min from 6pm to 10.30pm capped at $1.50, $0.60/30min from 10.30pm to 7am the following day capped at $5.00","$0.60/30min from 7am to 10.30pm capped at $1.50, $0.60/30min from 10.30pm to 7am the following day capped at $5.00","$0.60/30min from 7am to 10.30pm capped at $1.50, $0.60/30min from 10.30pm to 7am the following day capped at $5.00","681 Punggol Drive, S(820681)","1.4025737,103.9129045"
OCBC Centre,$2.60/30min from 6am to 6pm,"$3.30/entry from 6pm to 12midnight, $3.30/hr from 12midnight to 6am the following day","$3.30/entry from 6am to 12midnight, $3.30/hr from 12midnight to 6am the following day","$3.30/entry from 6am to 12midnight, $3.30/hr from 12midnight to 6am the following day","65 Chulia Street, S(049513)","1.285184,103.8488954"
OCBC Tampines Centre 2,Private Car Park,Private Car Park,Private Car Park,Private Car Park,"31 Tampines Avenue 4, S(529680)","1.3520931,103.9424071"
Ocean Financial Centre,$1.20/10min from 6am to 6.29pm,$5.90/entry from 6.30pm to 5.59am the following day,"$1.20/10min from 6am to 12.59pm, $5.90/entry from 1pm to 5.59am the following day",$5.90/entry from 6am to 5.59am the following day,"10 Collyer Quay, S(049315)","1.2830496,103.8518791"
Odeon Katong Shopping Centre,$1.20/hr for all day,$1.20/hr for all day,Charges same as weekdays,Charges same as weekdays,"11 East Coast Road, S(428722)","1.3044863,103.9019834"
Odeon Towers,"$2.20 for 1st hr, $1.10 for subsequent 30min from 7am to 5pm",$2.20/entry from 5pm to 7am the following day,"$2.20 for 1st hr, $0.90 for subsequent 30min from 7am to 5pm, $2.20/entry from 5pm to 7am the following day","$2.20 for 1st hr, $0.90 for next subsequent 30min from 7am to 5pm, $2.20/entry from 5pm to 7am the following day","331 North Bridge Road, S(188720)","1.2962396,103.8532832"
OG Albert,$1.20/30min from 7am to 7pm,$1.20/30min from 7pm to 10.59pm,Charges same as weekdays,Charges same as weekdays,"60 Albert Street, S(189969)","1.3024158,103.8539626"
OG Orchard Point,"$2.00 for 1st 1hr, $1.50 for next subsequent 30min from 8am to 9.59pm","$2.00 for 1st 1hr, $1.50 for next subsequent 30min from 10pm to 7.59am the following day",Charges same as weekdays,Charges same as weekdays,"160 Orchard Road, S(238842)","1.3014668,103.8405561"
OG People's Park,$1.20/30min from 7am to 10.59pm,$1.20/30min from 7am to 10.59pm,Charges same as weekdays,Charges same as weekdays,"100 Upper Cross Street, S(059108)","1.2851403,103.8431298"
One Farrer Hotel & Spa,"$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 5.59pm",$3.00/entry from 6pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,"1 Farrer Park Station Road, S(217562)","1.3127619,103.8545562"
One Fullerton - The Fullerton Heritage,$1.07/10min from 7.01am to 6pm,"$6.00/entry from 6.01pm to 12midnight, $7.00/entry from 12.01am to 7.00am the following day","$6.00/entry from 7.01am to 12midnight, $7.00/entry from 12.01am to 7.00am the following day","$6.00/entry from 7.01am to 12midnight, $7.00/entry from 12.01am to 7.00am the following day","1 Fullerton Road, S(049213)","1.2856406,103.8539179"
One George Street,$2.50/30min from 7am to 6pm,$3.60/entry after 6pm to 7am the following day,"$2.50/30min from 7am to 1pm, $3.60/entry from 1pm to 7am the following day",$3.60/entry from 7am to 7am the following day,"1 George Street, S(049145)","1.28566,103.847861"
One Marina Boulevard,$2.89/30min from 7am to 5.30pm,$3.75/entry from 5.30pm to 7am the following day,"$2.89/30min from 7am to 1pm, $3.75/entry from 1pm to 7am the following day",$3.75/entry from 7am to 7am the following day,"1 Marina Boulevard, S(018989)","1.2822004,103.8526513"
One Pemimpin,$1.30/hr from 7am to 4.59pm,$2.50/entry from 5pm to 6.59am the following day,"$1.30/hr from 7am to 12.59pm, $2.50/entry from 1pm to 6.59am the following day","$1.30/hr from 7am to 12.59pm, $2.50/entry from 1pm to 6.59am the following day","1 Pemimpin Drive, S(576151)","1.3519089,103.8428151"
One Raffles Place,$3.00/30min from 7am to 5pm,$3.75/entry from 5pm to 7am the following day,$3.75/entry from 7am to 7am the following day,$3.75/entry from 7am to 7am the following day,"1 Raffles Place, S(048616)","1.284177,103.851063"
One Raffles Quay,$1.18/10min block or part thereof from 6am to 6pm,"$3.21 for 1st 4hr, $0.30/10min block or part thereof from 6pm to 6am the following day","$3.21 for 1st 4hr, $0.30/10min block or part thereof from 6am to 6am the following day","$3.21 for 1st 4hr, $0.30/10min block or part thereof from 6am to 6am the following day",1 Raffles Quay S(048583),"1.2810929,103.8516576"
One Shenton,"$4.00 for 1st hr, $0.07 for next subsequent min from 7am to 6.59pm",$3.00/entry from 7pm to 6.59am the following day,$3.00/entry from 7am to 6.59am the following day,$3.00/entry from 7am to 6.59am the following day,"1 Shenton Way, S(068803)","1.2795839,103.8506561"
One15 Marina Club,$3.21/entry from 8am to 5pm,$3.21/entry from 5pm to 8am the following day,$3.21/entry from 8am to 8am the following day,$3.21/entry from 8am to 8am the following day,"11 Cove Drive, S(098497)","1.2455573,103.8398887"
OrangeTee Building,$1.07/30min from 7am to 6pm,"$0.54/30min from 6pm to 12midnight the following day, $2.14/entry from 12midnight to 7am",$2.14/entry from 7am to 7am the following day,$2.14/entry from 7am to 7am the following day,"430 Lorong 6 Toa Payoh, S(319402) ","1.3313077,103.8493871"
Orchard Building,$1.30/30min from 6.30am to 6pm,"$1.10/30min from 6pm to 11pm, $0.90/30min from 11pm to 6.30am the following day capped at maximum $7.20 for 4hrs",Charges same as weekdays,"$1.10/30min from 6.30am to 11pm, $0.90/30min from 11pm to 6.30am the following day capped at maximum $7.20 for 4hrs","1 Grange Road, S(239693)","1.3014488,103.8372499"
Orchard Central,"$3.10 for 1st 1.5hr, $1.50 for next subsequent 30min from 12am to 5.59pm","$5.03 for 1st 2.5hr, $1.82 for next subsequent 30min from 6pm to 11.59pm the following day","$5.03 for 1st 2.5hr, $1.82 for next subsequent 30min from 12am to 12pm the next day","$5.03 for 1st 2.5hr, $1.82 for next subsequent 30min from 12am to 12pm the next day","181 Orchard Road, S(238896)","1.3006242,103.8398658"
Orchard Credit Building,"$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 6.59pm","$2.00 for 1st hr, $1.00 for next subsequent 30min from 7pm to 6.59am the following day",Charges same as weekdays,Charges same as weekdays,"1 Chang Charn Road, S(159630)","1.2887531,103.8121168"
Orchard Gateway,"$3.00 for 1st 1hr 30min, $1.50 for next subsequent 30min from 12midnight to 5.59pm","$4.80 for 1st 2hr 30min, $1.80 for next subsequent 30min from 6pm to 11.59pm","$4.80 for 1st 2hr 30min, $1.80 for next subsequent 30min from 12midnight to 12midnight the following day","$4.80 for 1st 2hr 30min, $1.80 for next subsequent 30min from 12midnight to 12midnight the following day","277 Orchard Road, S(238858)
","1.300459,103.8393516"
Orchard Grand Court,"$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 5.59pm",$4.00/entry from 6pm to 6.59am,Charges same as weekdays,$4.00/entry from 7am to 7am the following day,"131 Killiney Road, S(239571)","1.2973821,103.8385633"
Orchard Hotel Singapore,"$3.50 for 1st hr, $1.50 for next subsequent 30min from 7am to 6pm",$5.50/entry from 6pm to 7am the following day,Charges same as weekdays,$5.50/entry from 7am to 7am the following day,"442 Orchard Road, S(238879)","1.3075322,103.8286"
Orchard Parade Hotel,"$5.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 6pm",$5.00/entry from 6pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"1 Tanglin Road, S(247905)","1.3066594,103.8276943"
Orchard Plaza,$1.39/30min from 7am to 5pm,"$3.85 for 1st 3hr, $1.39 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"150 Orchard Road, S(238841)
","1.3010249,103.8410995"
Orchard Point,"$2.00 for 1st 1hr, $1.50 for next subsequent 30min from 8am to 9.59pm","$2.00 for 1st hr, $1.50 for next subsequent 30min from 10pm to 7.59am the following day",Charges same as weekdays,Charges same as weekdays,"160 Orchard Road, S(238842)","1.3014668,103.8405561"
Orchard Towers,$5.00/hr from 7am to 5.59pm,"$9.00/entry from 6pm to 1.59am the following day, $9.00/entry from 2am to 6.59am the following day",Charges same as weekdays,"$9.00/entry from 7am to 1.59am the following day, $9.00/entry from 2am to 6.59am the following day","400 Orchard Road, S(238875)","1.3069439,103.8291434"
Orchid Country Club (OCC),Free Parking,Free Parking,Free Parking,Free Parking,"1 Orchid Club Road, S(769162)","1.4121001,103.8462627"
Orchid Hotel,"$2.00 for 1st 30min, $2.00 for next subsequent 30min from 12am to 6pm",$3.00/entry from 6pm to 12am the following day,Charges same as weekdays,$3.00/entry from 12am to 12am the following day,"1 Tras Link, S(078867)","1.2768788,103.8438187"
Oriental Plaza,"$2.30 for 1st hr, $1.50 for next subsequent 30min from 8am to 4.59pm",$2.50/entry from 5pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,"291 New Bridge Road, S(088756)","1.281865,103.842016"
OUE Bayfront,$1.07/10min from 7am to 5.59pm,$3.75/entry from 6pm to 6.59am the following day,"$1.07/10min from 7am to 2.59pm, $3.75/entry from 3pm to 11.59pm",$3.75/entry from 7am to 7am the following day,"50 Collyer Quay, S(049321)","1.2826632,103.8528142"
OUE Downtown 1,$2.57/30min from 7am to 5.59pm,$2.57/entry from 6pm to 6.59am the following day,$2.57/30min from 7am to 6.59am the following day,$2.57/30min from 7am to 6.59am the following day,"6 Shenton Way, S(068809)","1.2767199,103.8483025"
OUE Downtown 2,$2.57/30min from 7am to 5.59pm,$2.57/entry from 6pm to 6.59am the following day,$2.57/30min from 7am to 6.59am the following day,$2.57/30min from 7am to 6.59am the following day,"6 Shenton Way, S(068809)","1.2767199,103.8483025"
Our Tampines Hub,$0.02/min from 12am to 5.59pm,$2.40/entry from 6pm to 11.59pm,"$0.02/min from 12am to 5.59pm, $2.40/entry from 6pm to 11.59pm","$0.02/min from 12am to 5.59pm, $2.40/entry from 6pm to 11.59pm","1 Tampines Walk, S(528523)","1.3529604,103.9403451"
Outram Community Hospital (SingHealth Tower),$0.036/min from 7am to 9.59pm,$2.14/entry from 10pm to 6.59am the following day,"$0.036/min from 7am to 9.59pm, $2.14/entry from 10pm to 6.59am the following day","$0.018/min from 7am to 9.59pm, $2.14/entry from 10pm to 6.59am the following day","10 Hospital Boulevard, S(168582)","1.2777248,103.8355787"
Outram Road Off-Street,$0.60/30min from 7am to 5pm,$0.60/30min from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"231 Outram Road, S(169040)","1.284276,103.8349855"
Pacific Plaza,"$1.61 for 1st hr, $1.61 for next subsequent 30min from 8am to 6pm","$3.21 for 1st 2hr, $1.07 for next subsequent 30min from 6pm to 8am the following day",Charges same as weekdays,"$3.21 for 1st 2hr, $1.07 for next subsequent 30min from 8am to 8am the following day","9 Scotts Road, S(228210)","1.3065981,103.8320871"
Palais Renaissance,"$4.11 for 1st hr, $2.08 for subsequent 30min from 7.01am to 5pm","$4.92/entry from 5.01pm to 1am the following day, $1.92/hr from 1.01am to 7am",Charges same as Weekdays,"$4.60/4hr from 7.01am to 1am the following day, $1.80/hr from 1.01am to 7am","390 Orchard Road, S(238871)","1.3066492,103.8295057"
Pan Pacific Hotel,"(Mon to Thurs) $2.20/hr for 1st 2hr, $1.10 for next subsequent 30min from 7am to 5pm","(Mon to Thurs) $2.20/entry from 5pm to 2am the following day, $1.10/30min from 2am to 7am","(Fri to Sat) $2.40/hr for 1st 2hr, $1.20/hr for next subsequent 2hr, $1.40/30min from 7am to 2am the following day, $1.10/30min from 2am to 7am","$2.40/hr for 1st 2hr, $1.20/hr for next subsequent 2hr, $1.40/30min from 7am to 2am the following day, $1.10/30min from 2am to 7am","7 Raffles Boulevard, S(039595)","1.2922964,103.8588545"
Pan Pacific Orchard,"$5.00 for 1st hr, $1.50/30min from 7am to 5pm",$5.50/entry from 5pm to 7am the following day,Charges same as weekdays,$5.50/entry from 7am to 7am the following day,"10 Claymore Road, S(229540)","1.3075828,103.8298653"
Pan Pacific Serviced Suites Orchard,"$4.28 for 1st hr, $2.14 for next subsequent 30min from 8am to 5pm","$4.28 for 1st hr, $2.14 for next subsequent 30min from 5pm to 8am the following day","$4.28 for 1st hr, $2.14 for next subsequent 30min from 8am to 8am the following day","$4.28 for 1st hr, $2.14 for next subsequent 30min from 8am to 8am the following day","96 Somerset Rd, S(238163)","1.3009596,103.8378805"
Pantech 21,"$1.00 for 1st hr, $0.50 for next subsequent 30min from 7.01am to 6pm",$1.50/entry from 6.01pm to 7am the following day,Charges same as weekdays,Closed,"200 Pandan Loop, S(128388)","1.3112887,103.7518473"
Paragon,"$2.90 for 1st hr, $1.50 for next subsequent 30min from 3am to 4.59pm",$4.50/entry from 5pm to 2.59am the following day,Charges same as weekdays,Charges same as weekdays,"290 Orchard Road, S(238859)","1.3043349,103.8361743"
Park Hotel Farrer Park,"$3.00 for 1st hr, $0.75 for subsequent 15min from 8am to 6pm","$3.00 for 1st hr, $0.75 for subsequent 15min from 6pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,10 Farrer Park Station Road S(217564),"1.312394,103.8547373"
Park Mall,Carpark closed,Carpark closed,Carpark closed,Carpark closed,"9 Penang Road, S(238459)","1.2978935,103.845221"
Park Regis Singapore,"$5 for 1st hr, $1.50 for next subsequent 30min from 8am to 5pm","$5 for 1st hr, $1.50 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,"23 Merchant Road, S(058268)","1.2879711,103.8446507"
Parklane Shopping Mall,"$3.21 for 1st hr, $1.77 for next subsequent 30min from 7am to 7pm","$4.28/entry from 7.01pm to 12midnight, $5.35/entry from 12midnight to 6.59am the following day",Charges same as weekdays,"$4.28/entry from 7.01am to 12midnight, $5.35/entry from 12midnight to 6.59am the following day","35 Selegie Road, S(188307)","1.300661,103.8493367"
Parkroyal Collection Marina Bay,"(Mon to Thurs) $2.20 for 1st 2hr, $1.10 for next subsequent 30min from 7am to 5pm","(Mon to Thurs) $2.20/entry from 5pm to 2am the following day, $1.10/30min from 2am to 7am","(Fri to Sat) $2.40 for 1st 2hr, $1.20/hr for next subsequent 2hr, $1.40/30min from 7am to 2am the following day, $1.10/30min from 2am to 7am","$2.40 for 1st 2hr, $1.20/hr for next subsequent 2hr, $1.40/30min from 7am to 2am the following day, $1.10/30min from 2am to 7am from Fri to Sun","6 Raffles Boulevard, S(039594)","1.2909336,103.8573824"
PARKROYAL COLLECTION Pickering,"$5.00 for 1st hr, $2.50 for next subsequent 30min from 8am to 5pm","$5.00 for 1st hr, $2.50 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,"3 Upper Pickering Street, S(058289)","1.2854171,103.8468063"
PARKROYAL on Beach Road,"$6.00 for 1st hr, $2.00 for next subsequent hr from 7am to 4.59pm",$6.00/entry from 5pm to 6.59am the following day,"$6.00 for 1st hr, $2.00 for next subsequent hr from 7am to 12.59pm, $6.00/entry from 1pm to 6.59am the following day",$6.00/entry from 7am to 7am the following day,"7500A Beach Road, S(199591)","1.299739,103.860815"
Parkroyal@Kitchener Road (4th Floor),"$3.00 for 1st hr, $0.75 for next subsequent 15min from 7am to 5pm",$4.90/entry from 5pm to 7am the following day,Charges same as weekdays,$4.90/entry from 7am to 7am the following day,"181 Kitchener Road, S(208533)","1.3106349,103.8557348"
Parkview Square,"$2.14/hr, $1.07 for next subsequent 30min from 7am to 5pm",$5.35/4hr from 5pm to 7am the following day,"$2.14/hr, $1.07 for next subsequent 30min from 7am to 1pm, $5.35/4hr from 1pm to 7am the following day",$5.35/4hr from 7am to 7am the following day,"600 North Bridge Road, S(188778)","1.300164,103.8577305"
